"Time","Station","Species","Depth","OM_Percent","C_Percent","Bulk_Density","C_Density","SOC"
2021,30,"C",-2,48.57,23.05,1.01,0.23,2328.33
2021,30,"C",-3,45.09,21.6,1.14,0.25,2452.29
2015,30,"R",-1,30.37,15.49,0.52,0.08,801.94
2015,30,"R",-2,28.17,14.58,0.46,0.07,669.06
2015,30,"R",-3,28.62,14.77,0.47,0.07,695.51
2015,30,"B",-1,23.25,12.54,0.55,0.07,695.21
2015,30,"B",-2,31.4,15.92,0.44,0.07,696.58
2015,30,"B",-3,29.66,15.2,0.46,0.07,694.89
2015,30,"C",-1,23.5,12.64,0.57,0.07,717.24
2015,30,"C",-2,29,14.92,0.46,0.07,682.84
2015,30,"C",-3,25.96,13.66,0.52,0.07,704.98
2021,31,"R",-1,54.61,25.55,0.92,0.24,2357.05
2021,31,"R",-2,54.15,25.36,0.89,0.23,2257.98
2021,31,"R",-3,54.01,25.31,0.84,0.21,2136.94
2021,31,"B",-1,53.29,25,0.93,0.23,2330.28
2021,31,"B",-2,58.34,27.1,0.95,0.26,2565.24
2021,31,"B",-3,53.11,24.93,0.84,0.21,2089.26
2021,31,"C",-1,32.54,16.4,0.93,0.15,1526.67
2021,31,"C",-2,38.77,18.98,1.1,0.21,2091.25
2021,31,"C",-3,42.85,20.67,1.1,0.23,2270.78
2021,32,"R",-1,24.38,13.01,0.71,0.09,929.37
2021,32,"R",-2,34.29,17.12,0.78,0.13,1340.63
2021,32,"R",-3,31.31,15.88,0.83,0.13,1322.68
2021,32,"B",-1,41.76,20.22,1.09,0.22,2197.61
2021,32,"B",-2,51.1,24.1,0.85,0.21,2054.87
2021,32,"B",-3,51.55,24.28,0.95,0.23,2317.17
2021,32,"C",-1,53.81,25.22,0.86,0.22,2173.92
2021,32,"C",-2,48.43,22.99,0.99,0.23,2284.59
2021,32,"C",-3,51.16,24.12,1.01,0.24,2442.41
2015,32,"R",-1,30.31,15.47,0.51,0.08,790.36
2015,32,"R",-2,26.42,13.85,0.53,0.07,737.28
2015,32,"R",-3,10.78,7.36,0.99,0.07,727.35
2015,32,"B",-1,27.9,14.47,0.57,0.08,827.37
2015,32,"B",-2,19.91,11.15,0.61,0.07,682.65
2015,32,"B",-3,16.72,9.83,0.64,0.06,632.48
2015,32,"C",-1,26.59,13.92,0.59,0.08,822.55
2015,32,"C",-2,29.45,15.11,0.54,0.08,821.73
2015,32,"C",-3,16.48,9.73,0.72,0.07,697.15
2021,33,"R",-1,34.72,17.3,1.04,0.18,1800.05
2021,33,"R",-2,43.04,20.75,0.99,0.21,2062.69
2021,33,"R",-3,39.37,19.23,1.22,0.24,2351.77
2021,33,"B",-1,39.5,19.28,1.05,0.2,2026.17
2021,33,"B",-2,34.42,17.17,0.98,0.17,1691.63
2021,33,"B",-3,44.63,21.41,1.08,0.23,2314.1
2021,33,"C",-1,36.83,18.17,0.84,0.15,1532.68
2021,33,"C",-2,32.9,16.54,1.11,0.18,1833.44
2021,33,"C",-3,44.7,21.44,0.79,0.17,1703.49
2015,33,"R",-1,18.46,10.55,0.63,0.07,666.62
2015,33,"R",-2,28.19,14.59,0.48,0.07,698.52
2015,33,"R",-3,31,15.75,0.44,0.07,688.62
2015,33,"B",-1,15.92,9.5,0.75,0.07,708.6
2015,33,"B",-2,13.74,8.59,0.55,0.05,470.2
2015,33,"B",-3,19.12,10.82,0.63,0.07,683.74
2015,33,"C",-1,15.48,9.32,0.69,0.06,646.09
2015,33,"C",-2,20.59,11.43,0.62,0.07,706.16
2015,33,"C",-3,18.99,10.77,0.65,0.07,705.09
2021,34,"R",-1,35.72,17.72,0.79,0.14,1407.42
2021,34,"R",-2,40.14,19.55,0.59,0.12,1160
2021,34,"R",-3,36.72,18.13,0.63,0.11,1135.44
2021,34,"B",-1,43.48,20.94,1.08,0.23,2259.77
2021,34,"B",-2,52.06,24.5,0.88,0.22,2162.19
2021,34,"B",-3,57.32,26.68,0.95,0.25,2547.56
2021,34,"C",-1,46.29,22.1,0.93,0.21,2060.7
2021,34,"C",-2,60.68,28.07,0.96,0.27,2698.5
2021,34,"C",-3,53.44,25.07,0.94,0.24,2365.66
2015,38,"R",-1,15.76,9.43,0.72,0.07,680.47
2015,38,"R",-2,21.23,11.7,0.61,0.07,711.46
2015,38,"R",-3,35.99,17.83,0.46,0.08,828.1
2015,38,"B",-1,27.87,14.46,0.58,0.08,834.91
2015,38,"B",-2,21.59,11.85,0.56,0.07,664.28
2015,38,"B",-3,36.86,18.19,0.38,0.07,694.59
2015,38,"C",-1,18.91,10.74,0.7,0.08,756.09
2015,38,"C",-2,28.87,14.87,0.48,0.07,709.41
2015,38,"C",-3,28.4,14.68,0.53,0.08,779.79
2015,43,"R",-1,24.61,13.1,0.57,0.07,749.54
2015,43,"R",-2,23.86,12.79,0.6,0.08,769.37
2015,43,"R",-3,31.49,15.96,0.51,0.08,817.05
2015,43,"B",-1,29.31,15.05,0.49,0.07,741.34
2015,43,"B",-2,23.6,12.69,0.62,0.08,790.69
2015,43,"B",-3,30.03,15.35,0.55,0.08,842.71
2015,43,"C",-1,22.59,12.27,0.63,0.08,772.23
2015,43,"C",-2,21.39,11.77,0.67,0.08,793.87
2015,43,"C",-3,24.83,13.2,0.55,0.07,731
2015,48,"R",-1,23.08,12.47,0.49,0.06,610.1
2015,48,"R",-2,41.9,20.28,0.61,0.12,1234.54
2015,48,"R",-3,20.89,11.56,0.71,0.08,818.47
2015,48,"B",-1,27.04,14.11,0.45,0.06,628.5
2015,48,"B",-2,22.99,12.43,0.49,0.06,606.82
2015,48,"B",-3,22.74,12.33,0.56,0.07,693.7
2015,48,"C",-1,21.46,11.8,0.61,0.07,719.21
2015,48,"C",-2,22.62,12.28,0.61,0.08,754.31
2015,48,"C",-3,21.59,11.85,0.68,0.08,811.57
2015,53,"R",-1,37.42,18.42,0.43,0.08,800.38
2015,53,"R",-2,40.54,19.71,0.34,0.07,678.92
2015,53,"R",-3,38.38,18.82,0.34,0.06,643.95
2015,53,"B",-1,19.59,11.02,0.72,0.08,789
2015,53,"B",-2,32.47,16.36,0.44,0.07,722.25
2015,53,"B",-3,42.44,20.5,0.37,0.08,754.51
2015,53,"C",-1,28.97,14.91,0.47,0.07,704.8
2015,53,"C",-2,27.94,14.48,0.51,0.07,732.85
2015,53,"C",-3,39.81,19.41,0.37,0.07,718.98
2015,58,"R",-1,16.01,9.54,0.83,0.08,793.16
2015,58,"R",-2,11.78,7.78,0.84,0.07,652.36
2015,58,"R",-3,12.44,8.05,0.78,0.06,629.14
2015,58,"B",-1,10.76,7.35,0.91,0.07,667.32
2015,58,"B",-2,9.41,6.79,0.99,0.07,673.32
2015,58,"B",-3,9.9,7,0.88,0.06,613.02
2015,58,"C",-1,13.74,8.59,0.79,0.07,682.14
2015,58,"C",-2,16.07,9.56,0.84,0.08,807.07
2015,58,"C",-3,12.74,8.18,0.93,0.08,763.64
2015,63,"R",-1,23.04,12.45,0.64,0.08,800.02
2015,63,"R",-2,35.83,17.76,0.57,0.1,1007.69
2015,63,"R",-3,22.51,12.23,0.55,0.07,677.28
2015,63,"B",-1,28.26,14.62,0.55,0.08,799.3
2015,63,"B",-2,25.84,13.61,0.64,0.09,871.89
2015,63,"B",-3,34.06,17.03,0.4,0.07,678.35
2015,63,"C",-1,23.71,12.73,0.66,0.08,841.01
2015,63,"C",-2,21.03,11.62,0.57,0.07,663.96
2015,63,"C",-3,28.03,14.52,0.5,0.07,727.78
