"Time","Station","Species","Depth","OM_Percent","C_Percent","Bulk_Density","C_Density","SOC"
2021,5,"C",-2,38.63,18.92,1.08,0.2,2034.59
2021,5,"C",-3,48.79,23.14,1.13,0.26,2611.81
2015,6,"R",-1,26.03,13.69,0.64,0.09,877.65
2015,6,"R",-2,21.73,11.91,0.65,0.08,768.09
2015,6,"R",-3,14.8,9.03,0.81,0.07,735.02
2015,6,"B",-1,22.26,12.13,0.64,0.08,772.45
2015,6,"B",-2,14.9,9.07,0.73,0.07,660.62
2015,6,"B",-3,21.12,11.65,0.58,0.07,678.35
2015,6,"C",-1,22.41,12.19,0.71,0.09,860.43
2015,6,"C",-2,21.17,11.68,0.63,0.07,731.36
2015,6,"C",-3,20.71,11.48,0.52,0.06,597.51
2021,6,"R",-1,41.15,19.97,0.88,0.17,1748.86
2021,6,"R",-2,48.9,23.18,0.79,0.18,1828.35
2021,6,"R",-3,52.62,24.73,0.9,0.22,2227.29
2021,6,"B",-1,50.59,23.89,0.82,0.2,1963.57
2021,6,"B",-2,52.83,24.82,0.86,0.21,2140.47
2021,6,"B",-3,50.28,23.76,0.79,0.19,1888
2021,6,"C",-1,46.02,21.99,0.92,0.2,2015.44
2021,6,"C",-2,55.53,25.93,0.8,0.21,2078.06
2021,6,"C",-3,45.73,21.87,0.84,0.18,1826.05
2015,7,"R",-1,26.49,13.88,0.54,0.08,754.82
2015,7,"R",-2,18.66,10.63,0.61,0.06,646.08
2015,7,"R",-3,22.63,12.28,0.54,0.07,667.67
2015,7,"B",-1,21,11.6,0.75,0.09,868.73
2015,7,"B",-2,15.55,9.34,0.68,0.06,635.43
2015,7,"B",-3,27.22,14.19,0.48,0.07,683.13
2015,7,"C",-1,12.88,8.24,0.95,0.08,784.71
2015,7,"C",-2,21.62,11.86,0.65,0.08,771.81
2015,7,"C",-3,15.37,9.27,0.68,0.06,630.04
2021,7,"R",-1,60.02,27.8,0.78,0.22,2159.54
2021,7,"R",-2,57.39,26.71,0.8,0.21,2148.18
2021,7,"R",-3,57.14,26.6,0.72,0.19,1903.3
2021,7,"B",-1,48.19,22.89,0.92,0.21,2109.28
2021,7,"B",-2,31.46,15.94,1.09,0.17,1733.96
2021,7,"B",-3,49.27,23.34,0.7,0.16,1635.48
2021,7,"C",-1,47.77,22.71,0.91,0.21,2059.15
2021,7,"C",-2,52.31,24.6,0.74,0.18,1810.74
2021,7,"C",-3,62.17,28.69,0.89,0.26,2550.06
2015,8,"R",-1,15.57,9.35,0.81,0.08,759.29
2015,8,"R",-2,14.26,8.81,0.79,0.07,691.7
2015,8,"R",-3,16.91,9.91,0.71,0.07,704.21
2015,8,"B",-1,17.29,10.07,0.8,0.08,803.82
2015,8,"B",-2,26.32,13.81,0.53,0.07,736.58
2015,8,"B",-3,14.08,8.73,0.71,0.06,615.74
2015,8,"C",-1,13.81,8.62,0.91,0.08,783.11
2015,8,"C",-2,16.88,9.9,0.7,0.07,692.94
2015,8,"C",-3,19.7,11.06,0.69,0.08,767.03
2021,8,"R",-1,63.9,29.41,0.92,0.27,2717.93
2021,8,"R",-2,65.7,30.16,0.8,0.24,2413.91
2021,8,"R",-3,65.6,30.12,0.72,0.22,2174.85
2021,8,"B",-1,61.78,28.53,0.81,0.23,2314.24
2021,8,"B",-2,54.42,25.47,0.87,0.22,2218
2021,8,"B",-3,62.56,28.85,0.81,0.23,2342.03
2021,8,"C",-1,69.83,31.87,0.82,0.26,2612.9
2021,8,"C",-2,41.68,20.19,0.72,0.15,1452.53
2021,8,"C",-3,60.47,27.99,1,0.28,2804.16
2015,9,"R",-1,6.62,5.64,1.1,0.06,619.61
2015,9,"R",-2,7.82,6.14,1.05,0.06,645.84
2015,9,"R",-3,10.64,7.3,0.87,0.06,636.34
2015,9,"B",-1,9.68,6.91,0.94,0.06,648.87
2015,9,"B",-2,9.13,6.68,0.9,0.06,600.7
2015,9,"B",-3,15.05,9.14,0.74,0.07,676
2015,9,"C",-1,10.55,7.27,0.94,0.07,681.28
2015,9,"C",-2,10.2,7.12,0.94,0.07,666.47
2015,9,"C",-3,14.91,9.08,0.82,0.07,740.3
2021,9,"R",-1,41.13,19.96,0.95,0.19,1892.22
2021,9,"R",-2,54.53,25.52,0.76,0.19,1929.65
2021,9,"R",-3,60.32,27.92,0.96,0.27,2677.99
2021,9,"B",-1,69.27,31.64,0.78,0.25,2481
2021,9,"B",-2,49.32,23.36,1.06,0.25,2478.02
2021,9,"B",-3,57.86,26.9,0.8,0.22,2161.47
2021,9,"C",-1,54.11,25.35,0.94,0.24,2382.76
2021,9,"C",-2,39.5,19.28,0.78,0.15,1505.79
2021,9,"C",-3,51.75,24.36,0.63,0.15,1528.85
2015,10,"R",-1,26.48,13.88,0.54,0.08,755.71
2015,10,"R",-2,20.93,11.58,0.54,0.06,621.27
2015,10,"R",-3,25.53,13.49,0.47,0.06,632.74
2015,10,"B",-1,24.81,13.18,0.59,0.08,783.26
2015,10,"B",-2,27.79,14.42,0.54,0.08,780.46
2015,10,"B",-3,23.26,12.54,0.49,0.06,616.71
2015,10,"C",-1,17.8,10.28,0.73,0.07,747.69
2015,10,"C",-2,23.72,12.74,0.63,0.08,800.91
2015,10,"C",-3,27.16,14.16,0.49,0.07,700.69
2021,10,"R",-1,29.92,15.31,1.02,0.16,1566.84
2021,10,"R",-2,28.84,14.86,0.99,0.15,1472.06
2021,10,"R",-3,36.48,18.03,0.97,0.18,1756.6
2021,10,"B",-1,36.76,18.15,1.08,0.2,1965.56
2021,10,"B",-2,40.32,19.62,1.04,0.2,2048.15
2021,10,"B",-3,50.88,24.01,0.93,0.22,2242.52
2021,10,"C",-1,27.01,14.1,1.03,0.15,1450.66
2021,10,"C",-2,37.34,18.38,0.97,0.18,1788.22
2021,10,"C",-3,32.53,16.39,1.13,0.18,1848.33
2015,12,"R",-1,13.77,8.6,0.86,0.07,737.24
2015,12,"R",-2,24.69,13.14,0.61,0.08,807.46
2015,12,"R",-3,25.94,13.65,0.55,0.08,755.35
2015,12,"B",-1,23.95,12.83,0.69,0.09,887.11
2015,12,"B",-2,42.66,20.59,0.5,0.1,1034.77
2015,12,"B",-3,25.52,13.48,0.57,0.08,767.3
2015,12,"C",-1,16.17,9.6,0.95,0.09,908.27
2015,12,"C",-2,19.91,11.15,0.84,0.09,932.28
2015,12,"C",-3,23.69,12.72,0.63,0.08,798.43
2021,11,"R",-1,43.79,21.06,0.94,0.2,1982.16
2021,11,"R",-2,44.26,21.26,1.04,0.22,2206.46
2021,11,"R",-3,53.06,24.91,0.79,0.2,1956.36
2021,11,"B",-1,49.72,23.53,0.96,0.23,2266.93
2021,11,"B",-2,54.45,25.48,0.96,0.24,2443.44
2021,11,"B",-3,50.13,23.69,0.9,0.21,2138.59
2021,11,"C",-1,43.38,20.89,1.11,0.23,2310.24
2021,11,"C",-2,43.49,20.94,0.98,0.21,2060.39
2021,11,"C",-3,50.73,23.94,0.99,0.24,2370.55
2015,14,"R",-1,30.29,15.46,0.63,0.1,976.75
2015,14,"R",-2,41.45,20.09,0.62,0.12,1240.89
2015,14,"R",-3,31.55,15.98,0.5,0.08,792.5
2015,14,"B",-1,31.93,16.14,0.57,0.09,924.2
2015,14,"B",-2,28.05,14.53,0.56,0.08,810.42
2015,14,"B",-3,22.45,12.21,0.62,0.08,754.88
2015,14,"C",-1,23.35,12.58,0.76,0.1,950.18
2015,14,"C",-2,31.64,16.02,0.54,0.09,868.04
2015,14,"C",-3,29.75,15.24,0.43,0.07,660.87
2021,12,"R",-1,43.61,20.99,1.2,0.25,2518.02
2021,12,"R",-2,55.36,25.86,0.66,0.17,1700.91
2021,12,"R",-3,55.94,26.11,0.98,0.26,2554.24
2021,12,"B",-1,59.43,27.55,1,0.28,2760.65
2021,12,"B",-2,55.48,25.91,0.9,0.23,2330.09
2021,12,"B",-3,49.54,23.45,0.87,0.2,2034.69
2021,12,"C",-1,48.17,22.88,0.85,0.19,1943.72
2021,12,"C",-2,53.21,24.97,0.75,0.19,1869.55
2021,12,"C",-3,47.92,22.78,0.69,0.16,1573.26
2021,13,"R",-1,40.89,19.86,1.09,0.22,2165.07
2021,13,"R",-2,40.62,19.75,1.01,0.2,1987.06
2021,13,"R",-3,45.62,21.82,0.8,0.17,1742.29
